CLASIFICACION|SUBCLASIFICACION|DESCRIPCION|CODIGO INTERNO| COSTO SIN IVA | IVA | MARGEN 
REPUESTOS|DETAILER|GUIA PATIN DE CUCH. DETAILER|PRO3-8907-3050| 46 | 21 | 200 
REPUESTOS|DETAILER|CIRCUITO IMPRESO|PRO3-90620-101| 743 | 21 | 200 
REPUESTOS|DETAILER|SOPORTE TRASERO DETAILER|PRO3-94284-001| 42 | 21 | 200 
REPUESTOS|DETAILER|INSERTO TORNILLOS BAST. DETAIL|PRO3-96380-000| 180 | 21 | 200 
REPUESTOS|DETAILER|TORNILLOS GUIA DE CUCH. DETAIL|PRO3-96437-100| 40 | 21 | 200 
REPUESTOS|DETAILER|RESORTE GUIA DE CUCH. DETAILER|PRO3-96471-100| 100 | 21 | 200 
REPUESTOS|DETAILER|TRANSFORMADOR SIGMA/DET/PEA|PRO3-97615-005| 1.031 | 21 | 200 
REPUESTOS|DETAILER|TORNILLOS CUCHILLA DETAILER|PRO3-99719-000| 42 | 21 | 200 
REPUESTOS|DETAILER INALAMBRICA|TRANSFORMADOR DETAILER INALAMB|PRO3-97618-601| 600 | 21 | 200 
REPUESTOS|DOODLES|MOTOR DODDLE / BLING|PUB3-1669-0000| 312 | 21 | 200 
REPUESTOS|DOODLES|CARCASA INFERIOR DODDLE|PUB3-9902-9040| 58 | 21 | 200 
REPUESTOS|DOODLES|TAPA DE BATERIA DODDLE|PUB3-9903-9000| 23 | 21 | 200 
REPUESTOS|DOODLES|CABLE MOTOR DODDLE|PUB3-9926-3000| 23 | 21 | 200 
REPUESTOS|DOODLES|TAPA SUPERIOR DODDLE|PUB3-9930-9010| 35 | 21 | 200 
REPUESTOS|ERGO TRIM|CIRCUITO, MOTOR, BATERIA ERGO|PRO3-1460-7040| 737 | 21 | 200 
REPUESTOS|ERGO TRIM|MOTOR ERGO TRIM|PRO3-1461-2000| 296 | 21 | 200 
REPUESTOS|ERGO TRIM / COLORPRO REC.|BATERIA ERGO TRIM/COLORPRO REC|PRO3-1458-1100| 265 | 21 | 200 
REPUESTOS|ERGO TRIM / COLORPRO REC.|TRANSF ERGO TRIM/COLORPRO REC|PRO3-1460-1390| 613 | 21 | 200 
REPUESTOS|FINALE|TAPA SUPERIOR FINALE|PRO3-7315-4061| 180 | 21 | 200 
REPUESTOS|FINALE|CHASIS CARCAZA FINALE|PRO3-7316-1202| 583 | 21 | 200 
REPUESTOS|FINALE|SOPORTE CABEZAL FINALE|PRO3-7321-0030| 70 | 21 | 200 
REPUESTOS|FINALE|PALANCA CABEZAL FINALE|PRO3-7322-0010| 42 | 21 | 200 
REPUESTOS|FINALE|BOTON CABEZAL FINALE|PRO3-7323-1001| 42 | 21 | 200 
REPUESTOS|FINALE|SWITCH FINALE|PRO3-7324-7010| 58 | 21 | 200 
REPUESTOS|FINALE|ZOCALO PIN FINALE|PRO3-7326-1001| 42 | 21 | 200 
REPUESTOS|FINALE|CONTACTO MOTOR FINALE|PRO3-7331-0010| 42 | 21 | 200 
REPUESTOS|FINALE|RESORTE CABEZAL FINALE|PRO3-7332-1001| 42 | 21 | 200 
REPUESTOS|FINALE|PORTA CABEZAL FINALE|PRO3-7342-4801| 1.079 | 21 | 200 
REPUESTOS|FINALE|PORTA BATERIA FINALE|PRO3-7611-0000| 38 | 21 | 200 
REPUESTOS|FINALE|SOPORTE BATERIA FINALE|PRO3-7612-0000| 36 | 21 | 200 
REPUESTOS|FINALE|BATERIA LITHIUM FINALE|PRO3-93838-100| 809 | 21 | 200 
REPUESTOS|FINALE|CIRCUITO IMPRESO SWITCH FINALE|PRO3-95297-000| 521 | 21 | 200 
REPUESTOS|FINALE|CIRCUITO IMP. TERMINAL FINALE|PRO3-95298-000| 432 | 21 | 200 
REPUESTOS|FINALE|MOTOR FINALE|PRO3-95305-000| 342 | 21 | 200 
REPUESTOS|FINALE|TORNILLO DE MOTOR FINALE|PRO3-96423-100| 40 | 21 | 200 
REPUESTOS|FINALE|LEVA DE MOTOR FINALE|PRO3-97393-001| 71 | 21 | 200 
REPUESTOS|FINALE|JUNTA CABEZAL FINALE|PRO3-97394-000| 46 | 21 | 200 
REPUESTOS|FINALE|TRABA CABEZAL FINALE|PRO3-97395-000| 24 | 21 | 200 
REPUESTOS|FINALE|RESORTE TRABA CABEZAL FINALE|PRO3-97396-000| 46 | 21 | 200 
REPUESTOS|FINALE|RESORTE CABEZAL FINALE|PRO3-97398-100| 42 | 21 | 200 
REPUESTOS|FINALE / MAGIC CLIP / SENIOR|TRANSFORMADOR|PRO3-97225-002| 1.195 | 21 | 200 
REPUESTOS|FLAIR|CARCASA INFERIOR FLAIR  AZUL, ROJO, VIOLETA|PRO3-8721-6000| 100 | 21 | 200 
REPUESTOS|FLAIR|SWITCH FLAIR AZUL, ROJO, VIOLETA|PRO3-8722-6000| 54 | 21 | 200 
REPUESTOS|FLAIR|TAPA SUPERIOR FLAIR AZUL, ROJO, VIOLETA|PRO3-8730-6600| 96 | 21 | 200 
REPUESTOS|FLAIR|CIRCUITO IMPRESO FLAIR|PRO3-90600-002| 376 | 21 | 200 
